Category	Key	Kor
민수와지원	Min-su	하, 오늘 하체 조졌다. 갓 태어난 기린이 된 기분이야.
민수와지원	Ji-won	오, 고생했네. 집에 가서 닭가슴살이나 먹자.
민수와지원	Min-su	잠깐. 운동 직후에는 '양질의 단백질'과 '적절한 나트륨'이 필수인 거 알지?
민수와지원	Ji-won	...그래서 치킨집 메뉴판을 보고 있는 거냐?
민수와지원	Min-su	이건 그냥 치킨이 아니야. 튀김옷으로 육즙을 가둔 '스팀 닭고기'지.
민수와지원	Ji-won	기름에 튀겼는데 어떻게 스팀이냐. 그리고 저 맥주는 뭔데?
민수와지원	Min-su	야, 이건 '보리차'의 탄산 버전이야. 소화제라고.
민수와지원	Ji-won	그래, 먹어라. 대신 내일 런닝머신 2시간 예약이다.
민수와지원	Min-su	...그냥 편의점 계란이나 사러 가자.
레온와루나	Leon	자, 보라! 저기 전설의 검이 꽂혀있다!
레온와루나	Luna	저거 그냥 마른 나뭇가지인데요.
레온와루나	Leon	아니야, 자세히 봐. 저 찬란한 황금빛 오라가 안 보여?
레온와루나	Luna	그냥 햇빛 반사된 건데요. 그리고 저거 옆에 '땔감'이라고 써있잖아요.
레온와루나	Leon	...세상은 가끔 진실을 숨기곤 하지. 일단 뽑아보겠다!
레온와루나	Luna	(우지끈) 아, 부러졌다. 전설이 3초 만에 끝났네요.
레온와루나	Leon	으음... 내 힘을 감당하지 못한 모양이군. 역시 맨손 격투가 답인가.
레온와루나	Luna	그냥 무기 살 돈 없다고 하세요. 힐 안 줄 거니까 다치지나 마요.
