GroupID	GroupName	ItemKeys	ChanceArray
100	Fruit Basket	[0,1,7]	[0.5,0.3,0.2]
101	Root Vegetables	[2,3,6]	[0.4,0.4,0.2]
102	Spicy Combo	[2,8]	[0.6,0.4]
103	Red Mix	[3,6,7,8]	[0.2,0.3,0.3,0.2]
104	Green Box	[4,5]	[0.5,0.5]
105	Basic Vegetables	[2,4,5]	[0.3,0.4,0.3]
106	Garden Harvest	[0,2,3,6,8]	[0.2,0.2,0.2,0.2,0.2]
107	Healthy Picks	[1,4,6,7]	[0.25,0.25,0.25,0.25]
108	Hot & Sweet	[7,8]	[0.5,0.5]
109	Random Veggies	[2,3,4,5,6]	[0.1,0.2,0.3,0.2,0.2]
110	Red Power	[3,7,8]	[0.3,0.4,0.3]
111	Tropical Set	[0,1,7]	[0.3,0.4,0.3]
112	Farm Fresh	[0,2,4]	[0.2,0.5,0.3]
113	Fire Salad	[3,6,8]	[0.3,0.3,0.4]
114	Energy Pack	[1,2,5]	[0.4,0.4,0.2]
115	Green Essentials	[4,5,6]	[0.3,0.4,0.3]
116	Mixed Basket	[0,3,5,8]	[0.25,0.25,0.25,0.25]
117	Crispy Picks	[0,6,7]	[0.4,0.4,0.2]
118	Field Harvest	[2,3,4,5]	[0.25,0.25,0.25,0.25]
119	Super Mix	[0,1,2,3,4,5,6,7,8]	[0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.1]
